_id,partner,course,skills,rating,reviewCount,level,certificateType,duration,creditEligibility
66fe20076f4453256b07a975,DeepLearning.AI,Natural Language Processing with Attention Models,"[' Artificial Neural Networks', ' Deep Learning', ' Natural Language Processing', ' Machine Learning', ' Python Programming', ' Statistical Programming']",4.4,0,Intermediate , Course , 1 - 4 Weeks,False
66fe20076f4453256b07a976,University of Virginia,How Things Work: An Introduction to Physics,"[' Critical Thinking', ' Experiment', ' Problem Solving', ' Angular', ' Mathematical Theory & Analysis', ' Scientific Visualization', ' Deep Learning', ' Feature Engineering', ' Reinforcement Learning']",4.8,0,Intermediate , Course , 1 - 3 Months,False
66fe20076f4453256b07a977,University of Illinois at Urbana-Champaign,Object-Oriented Data Structures in C++,"[' C Programming Language Family', ' Computer Programming', ' Data Structures', ' Theoretical Computer Science']",4.7,0,Intermediate , Course , 1 - 4 Weeks,False
66fe20076f4453256b07a978,Macquarie University,Excel Skills for Business: Intermediate I,"[' Business Analysis', ' Data Analysis', ' Microsoft Excel', ' Spreadsheet Software', ' Plot (Graphics)', ' Databases']",4.9,0,Intermediate , Course , 1 - 3 Months,False
66fe20076f4453256b07a979,Stanford University,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms","[' Algorithms', ' Theoretical Computer Science', ' Computational Thinking', ' Computer Programming', ' Critical Thinking', ' Mathematics', ' Problem Solving', ' Computational Logic', ' Mathematical Theory & Analysis', ' Programming Principles']",4.8,0,Intermediate , Course , 1 - 4 Weeks,False
66fe20076f4453256b07a97a,University of Illinois at Urbana-Champaign,Corporate & Commercial Law I: Contracts & Employment Law,"[' Contract Management', ' Critical Thinking', ' Leadership and Management', ' Regulations and Compliance', ' Business Communication', ' Decision Making', ' Employee Relations', ' Negotiation', ' Human Resources', ' Strategy and Operations']",4.8,0,Intermediate , Course , 1 - 3 Months,False
66fe20076f4453256b07a97b,University of Pennsylvania,Nuts and Bolts of U.S. Immigration Law,['(95 reviews)'],4.9,0,Intermediate , Course , 1 - 4 Weeks,False
66fe20076f4453256b07a97c,Yale University,Visualizing the Living Body: Diagnostic Imaging,['(171 reviews)'],4.8,0,Intermediate , Course , 1 - 3 Months,False
66fe20076f4453256b07a97d,University of Illinois at Urbana-Champaign,Auditing I: Conceptual Foundations of Auditing,"[' Accounting', ' Audit', ' Critical Thinking', ' Financial Analysis', ' Regulations and Compliance', ' Risk Management', ' Financial Accounting', ' General Accounting', ' Leadership and Management', ' Finance']",4.7,0,Intermediate , Course , 1 - 3 Months,False
66fe20076f4453256b07a97e,Duke University,Introduction to Machine Learning,"[' Applied Machine Learning', ' Artificial Neural Networks', ' Deep Learning', ' Human Learning', ' Machine Learning', ' Algorithms', ' Machine Learning Algorithms', ' Network Model', ' Natural Language Processing', ' Probability & Statistics', ' Regression', ' Python Programming']",4.7,0,Intermediate , Course , 1 - 4 Weeks,False
